origin,destination,distance
AG,SJ,7985.321
AG,SK,7974.81
AG,SL,5493.064
AG,SM,7452.428
AG,SN,5062.172
AG,SO,11734.883
AG,SR,1590.969
AG,SS,10111.101
AG,ST,7710.883
AG,SV,2925.013
AG,SX,172.376
AG,SY,9877.272
AG,SZ,11158.593
AG,TC,1168.306
AG,TD,8530.264
AG,TF,14371.918
AG,TG,6827.752
AG,TH,15895.747
AG,TJ,12111.638
AG,TK,12419.632
AG,TL,13053.195
AG,TM,11304.772
AG,TN,7263.074
AG,TO,13053.195
AG,TR,9411.692
AG,TT,710.903
AG,TV,13480.781
AG,TW,15473.056
AG,TZ,10922.703
AG,UA,8812.27
AG,UG,10396.918
AG,UM,13355.969
AG,US,3994.905
AG,US-AK,8445.325
AG,US-AL,3038.264
AG,US-AZ,5236.406
AG,US-AR,3589.97
AG,US-CA,6020.913
AG,US-CO,4912.219
AG,US-CT,2934.029
AG,US-DE,2770.917
AG,US-FL,2336.045
AG,US-GA,2732.375
AG,US-HI,9744.126
AG,US-ID,5763.549
AG,US-IL,3723.89
AG,US-IN,3482.815
AG,US-IA,4056.579
AG,US-KS,4304.039
AG,US-KY,3184.971
AG,US-LA,3416.246
AG,US-ME,3214.737
AG,US-MD,2836.716
AG,US-MA,2961.687
AG,US-MI,3760.654
AG,US-MN,4469.273
AG,US-MS,3250.148
AG,US-MO,3735.55
AG,US-MT,5528.185
AG,US-NE,4528.491
AG,US-NV,5786.049
AG,US-NH,3048.983
AG,US-NJ,2831.192
AG,US-NM,4786.563
